"시도명(1)","시군구(1)","시점",계,계,계,계,계
"시도명(1)","시군구(1)","시점",소계,경형,소형,중형,대형
"부산","금정구","2020.01",8325,377,2299,5256,393
"부산","금정구","2020.02",8338,374,2307,5253,404
"부산","금정구","2020.03",8326,378,2307,5248,393
"부산","금정구","2020.04",8357,397,2291,5271,398
"부산","금정구","2020.05",8396,402,2279,5295,420
"부산","금정구","2020.06",8406,391,2281,5321,413
"부산","금정구","2020.07",8429,400,2278,5339,412
"부산","금정구","2020.08",8421,401,2280,5331,409
"부산","금정구","2020.09",8471,396,2285,5373,417
"부산","금정구","2020.10",8450,392,2279,5359,420
"부산","금정구","2020.11",8419,387,2275,5337,420
"부산","금정구","2020.12",8409,383,2279,5319,428
"부산","금정구","2021.01",8393,382,2271,5315,425
"부산","금정구","2021.02",8398,383,2271,5310,434
"부산","금정구","2021.03",8424,385,2262,5345,432
"부산","금정구","2021.04",8475,398,2280,5345,452
"부산","금정구","2021.05",8499,392,2284,5370,453
"부산","금정구","2021.06",8499,392,2284,5370,453
"부산","금정구","2021.07",8573,387,2307,5404,475
"부산","금정구","2021.08",8647,397,2326,5439,485
"부산","금정구","2021.09",8247,398,2068,5284,497
"부산","금정구","2021.10",8278,393,2063,5311,511
"부산","금정구","2021.11",8179,391,2017,5253,518
"부산","금정구","2021.12",8147,385,2005,5238,519
"부산","금정구","2022.01",8134,384,2000,5228,522
"부산","금정구","2022.02",8088,383,1996,5193,516
"부산","금정구","2022.03",8123,377,1999,5212,535
"부산","금정구","2022.04",8171,371,2034,5220,546
"부산","금정구","2022.05",8187,371,2042,5214,560
"부산","금정구","2022.06",8203,372,2051,5211,569
"부산","금정구","2022.07",8234,373,2061,5221,579
"부산","금정구","2022.08",8216,368,2057,5205,586
"부산","금정구","2022.09",8219,361,2065,5210,583
"부산","금정구","2022.10",8208,354,2077,5201,576
"부산","금정구","2022.11",8193,355,2071,5190,577
"부산","금정구","2022.12",8180,353,2076,5181,570
"부산","기장군","2020.01",5262,274,1589,3057,342
"부산","기장군","2020.02",5281,268,1596,3074,343
"부산","기장군","2020.03",5342,281,1599,3117,345
"부산","기장군","2020.04",5375,296,1597,3135,347
"부산","기장군","2020.05",5436,318,1602,3146,370
"부산","기장군","2020.06",5482,310,1604,3177,391
"부산","기장군","2020.07",5496,307,1603,3193,393
"부산","기장군","2020.08",5579,310,1615,3244,410
"부산","기장군","2020.09",5623,309,1608,3293,413
"부산","기장군","2020.10",5623,304,1605,3296,418
"부산","기장군","2020.11",5630,300,1619,3292,419
"부산","기장군","2020.12",5680,298,1634,3320,428
"부산","기장군","2021.01",5738,301,1637,3369,431
"부산","기장군","2021.02",5733,296,1636,3365,436
"부산","기장군","2021.03",5753,296,1640,3392,425
"부산","기장군","2021.04",5808,294,1651,3419,444
"부산","기장군","2021.05",5844,296,1659,3428,461
"부산","기장군","2021.06",5844,296,1659,3428,461
"부산","기장군","2021.07",5857,286,1660,3445,466
"부산","기장군","2021.08",5838,291,1607,3463,477
"부산","기장군","2021.09",5831,293,1579,3468,491
"부산","기장군","2021.10",5702,292,1492,3416,502
"부산","기장군","2021.11",5534,294,1395,3335,510
"부산","기장군","2021.12",5568,291,1403,3351,523
"부산","기장군","2022.01",5574,286,1400,3363,525
"부산","기장군","2022.02",5590,288,1407,3374,521
"부산","기장군","2022.03",5611,288,1406,3393,524
"부산","기장군","2022.04",5640,284,1420,3416,520
"부산","기장군","2022.05",5678,290,1426,3428,534
"부산","기장군","2022.06",5729,293,1436,3453,547
"부산","기장군","2022.07",5763,295,1437,3470,561
"부산","기장군","2022.08",5790,297,1448,3476,569
"부산","기장군","2022.09",5816,298,1459,3484,575
"부산","기장군","2022.10",5842,302,1464,3489,587
"부산","기장군","2022.11",5861,307,1470,3472,612
"부산","기장군","2022.12",5874,315,1470,3470,619
"부산","남구","2020.01",10721,481,2794,6793,653
"부산","남구","2020.02",10683,481,2783,6777,642
"부산","남구","2020.03",10765,494,2775,6834,662
"부산","남구","2020.04",10791,510,2765,6842,674
"부산","남구","2020.05",10837,520,2760,6875,682
"부산","남구","2020.06",10870,522,2743,6910,695
"부산","남구","2020.07",10894,534,2730,6924,706
"부산","남구","2020.08",10886,528,2724,6929,705
"부산","남구","2020.09",10870,522,2705,6940,703
"부산","남구","2020.10",10935,522,2701,6979,733
"부산","남구","2020.11",10926,510,2688,6990,738
"부산","남구","2020.12",10903,512,2674,6987,730
"부산","남구","2021.01",10919,510,2666,7003,740
"부산","남구","2021.02",10902,507,2670,6979,746
"부산","남구","2021.03",10888,505,2668,6968,747
"부산","남구","2021.04",10962,505,2670,7016,771
"부산","남구","2021.05",10995,510,2684,7017,784
"부산","남구","2021.06",10995,510,2684,7017,784
"부산","남구","2021.07",11017,487,2675,7043,812
"부산","남구","2021.08",11069,490,2690,7068,821
"부산","남구","2021.09",10673,488,2448,6913,824
"부산","남구","2021.10",10735,496,2447,6959,833
"부산","남구","2021.11",10630,497,2390,6911,832
"부산","남구","2021.12",10617,495,2388,6900,834
"부산","남구","2022.01",10577,491,2385,6871,830
"부산","남구","2022.02",10564,488,2380,6842,854
"부산","남구","2022.03",10585,481,2377,6866,861
"부산","남구","2022.04",10619,484,2381,6888,866
"부산","남구","2022.05",10679,474,2389,6940,876
"부산","남구","2022.06",10699,464,2387,6956,892
"부산","남구","2022.07",10743,463,2393,6985,902
"부산","남구","2022.08",10716,453,2387,6970,906
"부산","남구","2022.09",10743,448,2394,6987,914
"부산","남구","2022.10",10731,444,2400,6953,934
"부산","남구","2022.11",10747,446,2403,6961,937
"부산","남구","2022.12",10730,451,2400,6940,939
"부산","동구","2020.01",4364,246,997,2906,215
"부산","동구","2020.02",4360,242,994,2907,217
"부산","동구","2020.03",4372,242,1001,2912,217
"부산","동구","2020.04",4413,260,1002,2919,232
"부산","동구","2020.05",4446,269,1005,2936,236
"부산","동구","2020.06",4445,269,1005,2933,238
"부산","동구","2020.07",4452,268,1005,2940,239
"부산","동구","2020.08",4454,260,1006,2956,232
"부산","동구","2020.09",4448,242,1003,2967,236
"부산","동구","2020.10",4451,238,995,2979,239
"부산","동구","2020.11",4443,239,1001,2962,241
"부산","동구","2020.12",4445,239,997,2968,241
"부산","동구","2021.01",4441,236,994,2965,246
"부산","동구","2021.02",4428,234,990,2957,247
"부산","동구","2021.03",4429,234,988,2961,246
"부산","동구","2021.04",4454,227,999,2974,254
"부산","동구","2021.05",4468,225,1000,2991,252
"부산","동구","2021.06",4468,225,1000,2991,252
"부산","동구","2021.07",4476,216,999,2989,272
"부산","동구","2021.08",4519,219,1014,2998,288
"부산","동구","2021.09",4544,224,1017,3021,282
"부산","동구","2021.10",4563,222,1011,3040,290
"부산","동구","2021.11",4489,222,961,3013,293
"부산","동구","2021.12",4477,223,954,3014,286
"부산","동구","2022.01",4472,213,950,3012,297
"부산","동구","2022.02",4487,216,950,3023,298
"부산","동구","2022.03",4492,217,955,3020,300
"부산","동구","2022.04",4504,206,962,3029,307
"부산","동구","2022.05",4515,203,965,3039,308
"부산","동구","2022.06",4496,199,959,3033,305
"부산","동구","2022.07",4513,200,956,3041,316
"부산","동구","2022.08",4510,201,957,3042,310
"부산","동구","2022.09",4511,199,966,3042,304
"부산","동구","2022.10",4509,190,967,3040,312
"부산","동구","2022.11",4498,188,969,3024,317
"부산","동구","2022.12",4493,188,966,3021,318
"부산","동래구","2020.01",8606,429,2410,5258,509
"부산","동래구","2020.02",8603,425,2400,5262,516
"부산","동래구","2020.03",8632,423,2399,5288,522
"부산","동래구","2020.04",8672,443,2386,5308,535
"부산","동래구","2020.05",8739,449,2393,5343,554
"부산","동래구","2020.06",8751,450,2395,5350,556
"부산","동래구","2020.07",8756,461,2382,5363,550
"부산","동래구","2020.08",8763,459,2379,5360,565
"부산","동래구","2020.09",8807,449,2374,5408,576
"부산","동래구","2020.10",8828,455,2371,5428,574
"부산","동래구","2020.11",8845,448,2361,5454,582
"부산","동래구","2020.12",8830,439,2356,5444,591
"부산","동래구","2021.01",8833,429,2365,5441,598
"부산","동래구","2021.02",8854,427,2362,5448,617
"부산","동래구","2021.03",8860,425,2353,5459,623
"부산","동래구","2021.04",8916,428,2374,5476,638
"부산","동래구","2021.05",8933,428,2368,5489,648
"부산","동래구","2021.06",8933,428,2368,5489,648
"부산","동래구","2021.07",8950,416,2374,5515,645
"부산","동래구","2021.08",8994,417,2393,5528,656
"부산","동래구","2021.09",9050,425,2409,5557,659
"부산","동래구","2021.10",9045,422,2405,5540,678
"부산","동래구","2021.11",8604,423,2103,5392,686
"부산","동래구","2021.12",8606,415,2103,5400,688
"부산","동래구","2022.01",8651,415,2098,5450,688
"부산","동래구","2022.02",8688,417,2094,5486,691
"부산","동래구","2022.03",8763,420,2089,5542,712
"부산","동래구","2022.04",8840,422,2092,5589,737
"부산","동래구","2022.05",8866,409,2097,5601,759
"부산","동래구","2022.06",8862,408,2084,5600,770
"부산","동래구","2022.07",8926,412,2091,5620,803
"부산","동래구","2022.08",8956,416,2097,5629,814
"부산","동래구","2022.09",8989,414,2108,5636,831
"부산","동래구","2022.10",8998,410,2115,5622,851
"부산","동래구","2022.11",8998,418,2119,5605,856
"부산","동래구","2022.12",8979,419,2130,5571,859
"부산","부산진구","2020.01",17239,558,5976,9874,831
"부산","부산진구","2020.02",17261,556,5975,9885,845
"부산","부산진구","2020.03",17356,554,5983,9950,869
"부산","부산진구","2020.04",17424,593,5961,9989,881
"부산","부산진구","2020.05",17468,618,5952,9999,899
"부산","부산진구","2020.06",17557,632,5951,10059,915
"부산","부산진구","2020.07",17590,618,5959,10099,914
"부산","부산진구","2020.08",17641,618,5944,10156,923
"부산","부산진구","2020.09",17683,621,5929,10180,953
"부산","부산진구","2020.10",17719,628,5929,10192,970
"부산","부산진구","2020.11",17756,629,5928,10200,999
"부산","부산진구","2020.12",17744,619,5931,10186,1008
"부산","부산진구","2021.01",17764,622,5932,10191,1019
"부산","부산진구","2021.02",17810,620,5928,10222,1040
"부산","부산진구","2021.03",17877,633,5923,10267,1054
"부산","부산진구","2021.04",18009,631,5958,10323,1097
"부산","부산진구","2021.05",18019,623,5944,10337,1115
"부산","부산진구","2021.06",18019,623,5944,10337,1115
"부산","부산진구","2021.07",18111,624,5964,10383,1140
"부산","부산진구","2021.08",18248,633,6003,10443,1169
"부산","부산진구","2021.09",15508,644,3913,9785,1166
"부산","부산진구","2021.10",15556,645,3905,9825,1181
"부산","부산진구","2021.11",15379,633,3806,9769,1171
"부산","부산진구","2021.12",15324,627,3808,9717,1172
"부산","부산진구","2022.01",15340,627,3813,9703,1197
"부산","부산진구","2022.02",15394,626,3817,9752,1199
"부산","부산진구","2022.03",15511,618,3828,9826,1239
"부산","부산진구","2022.04",15630,601,3871,9883,1275
"부산","부산진구","2022.05",15629,593,3880,9879,1277
"부산","부산진구","2022.06",15648,601,3866,9891,1290
"부산","부산진구","2022.07",15715,607,3891,9914,1303
"부산","부산진구","2022.08",15783,601,3890,9959,1333
"부산","부산진구","2022.09",15892,602,3925,10014,1351
"부산","부산진구","2022.10",15989,619,3924,10061,1385
"부산","부산진구","2022.11",16039,624,3935,10081,1399
"부산","부산진구","2022.12",16020,629,3935,10063,1393
"부산","북구","2020.01",8709,369,2428,5440,472
"부산","북구","2020.02",8694,359,2420,5434,481
"부산","북구","2020.03",8703,368,2416,5432,487
"부산","북구","2020.04",8712,386,2405,5433,488
"부산","북구","2020.05",8776,428,2406,5445,497
"부산","북구","2020.06",8808,442,2413,5447,506
"부산","북구","2020.07",8862,450,2415,5480,517
"부산","북구","2020.08",8865,440,2408,5500,517
"부산","북구","2020.09",8874,435,2408,5515,516
"부산","북구","2020.10",8886,428,2407,5529,522
"부산","북구","2020.11",8877,425,2401,5525,526
"부산","북구","2020.12",8838,423,2393,5497,525
"부산","북구","2021.01",8833,418,2390,5511,514
"부산","북구","2021.02",8825,417,2382,5512,514
"부산","북구","2021.03",8878,419,2379,5546,534
"부산","북구","2021.04",8953,425,2414,5560,554
"부산","북구","2021.05",8970,425,2430,5557,558
"부산","북구","2021.06",8970,425,2430,5557,558
"부산","북구","2021.07",9055,423,2434,5621,577
"부산","북구","2021.08",9121,425,2462,5662,572
"부산","북구","2021.09",9181,442,2473,5668,598
"부산","북구","2021.10",9221,444,2483,5677,617
"부산","북구","2021.11",8415,445,1994,5357,619
"부산","북구","2021.12",8407,448,1991,5344,624
"부산","북구","2022.01",8425,440,1996,5362,627
"부산","북구","2022.02",8433,433,2006,5361,633
"부산","북구","2022.03",8509,424,2012,5427,646
"부산","북구","2022.04",8606,419,2037,5498,652
"부산","북구","2022.05",8661,412,2046,5533,670
"부산","북구","2022.06",8665,412,2039,5541,673
"부산","북구","2022.07",8696,411,2041,5544,700
"부산","북구","2022.08",8717,416,2037,5551,713
"부산","북구","2022.09",8756,416,2060,5562,718
"부산","북구","2022.10",8772,412,2072,5575,713
"부산","북구","2022.11",8774,414,2071,5559,730
"부산","북구","2022.12",8756,417,2080,5537,722
"부산","사상구","2020.01",10262,560,2999,6296,407
"부산","사상구","2020.02",10229,552,3008,6268,401
"부산","사상구","2020.03",10262,554,3012,6291,405
"부산","사상구","2020.04",10322,589,3006,6311,416
"부산","사상구","2020.05",10364,613,3010,6326,415
"부산","사상구","2020.06",10396,609,2998,6361,428
"부산","사상구","2020.07",10400,610,2996,6362,432
"부산","사상구","2020.08",10419,609,2994,6372,444
"부산","사상구","2020.09",10452,601,2982,6416,453
"부산","사상구","2020.10",10484,596,2974,6446,468
"부산","사상구","2020.11",10475,605,2970,6435,465
"부산","사상구","2020.12",10474,605,2960,6449,460
"부산","사상구","2021.01",10476,595,2955,6459,467
"부산","사상구","2021.02",10495,602,2949,6475,469
"부산","사상구","2021.03",10490,589,2949,6471,481
"부산","사상구","2021.04",10597,600,2991,6504,502
"부산","사상구","2021.05",10598,593,2977,6515,513
"부산","사상구","2021.06",10598,593,2977,6515,513
"부산","사상구","2021.07",10618,581,2975,6520,542
"부산","사상구","2021.08",10690,584,3018,6540,548
"부산","사상구","2021.09",10776,607,3027,6584,558
"부산","사상구","2021.10",10789,607,3025,6592,565
"부산","사상구","2021.11",10656,610,2994,6490,562
"부산","사상구","2021.12",10644,605,3007,6467,565
"부산","사상구","2022.01",9290,603,2224,5884,579
"부산","사상구","2022.02",9296,601,2221,5904,570
"부산","사상구","2022.03",9307,599,2217,5918,573
"부산","사상구","2022.04",9357,591,2230,5934,602
"부산","사상구","2022.05",9335,583,2235,5931,586
