"시도명(1)","시점","시군구(1)",계,계,계,계,계
"시도명(1)","시점","시군구(1)",소계,경형,소형,중형,대형
"부산","2018.01","금정구",8115,380,2402,5017,316
"부산","2018.01","기장군",4976,266,1591,2905,214
"부산","2018.01","남구",10535,451,2932,6679,473
"부산","2018.01","동구",4271,242,1058,2816,155
"부산","2018.01","동래구",8357,417,2542,5063,335
"부산","2018.01","부산진구",17280,531,6279,9865,605
"부산","2018.01","북구",8682,299,2544,5502,337
"부산","2018.01","사상구",10098,455,3090,6258,295
"부산","2018.01","사하구",11282,370,3062,7381,469
"부산","2018.01","서구",6078,171,1800,3923,184
"부산","2018.01","수영구",6490,274,1952,3937,327
"부산","2018.01","연제구",6590,272,1735,4234,349
"부산","2018.01","영도구",6380,221,1684,4257,218
"부산","2018.01","해운대구",12266,542,3388,7625,711
"부산","2018.01","부산기타",15,0,11,4,0
"부산","2018.02","금정구",8117,377,2395,5029,316
"부산","2018.02","기장군",4994,272,1588,2915,219
"부산","2018.02","남구",10496,452,2921,6646,477
"부산","2018.02","동구",4257,237,1057,2814,149
"부산","2018.02","동래구",8352,412,2533,5068,339
"부산","2018.02","부산진구",17255,517,6271,9858,609
"부산","2018.02","북구",8680,297,2538,5504,341
"부산","2018.02","사상구",10086,452,3079,6249,306
"부산","2018.02","사하구",11265,372,3054,7374,465
"부산","2018.02","서구",6071,171,1799,3919,182
"부산","2018.02","수영구",6488,276,1949,3935,328
"부산","2018.02","연제구",6603,263,1739,4246,355
"부산","2018.02","영도구",6373,222,1678,4255,218
"부산","2018.02","해운대구",12246,542,3388,7601,715
"부산","2018.02","부산기타",15,0,11,4,0
"부산","2018.03","금정구",8102,371,2384,5034,313
"부산","2018.03","기장군",5014,274,1587,2925,228
"부산","2018.03","남구",10532,454,2916,6665,497
"부산","2018.03","동구",4235,230,1054,2800,151
"부산","2018.03","동래구",8357,409,2524,5080,344
"부산","2018.03","부산진구",17269,521,6258,9862,628
"부산","2018.03","북구",8666,292,2528,5497,349
"부산","2018.03","사상구",10056,447,3077,6228,304
"부산","2018.03","사하구",11290,364,3052,7415,459
"부산","2018.03","서구",6046,167,1795,3905,179
"부산","2018.03","수영구",6499,283,1946,3929,341
"부산","2018.03","연제구",6564,251,1735,4218,360
"부산","2018.03","영도구",6358,220,1677,4242,219
"부산","2018.03","해운대구",12270,540,3385,7623,722
"부산","2018.03","부산기타",15,0,11,4,0
"부산","2018.04","금정구",8112,366,2375,5050,321
"부산","2018.04","기장군",5022,266,1591,2925,240
"부산","2018.04","남구",10535,449,2918,6665,503
"부산","2018.04","동구",4248,229,1058,2811,150
"부산","2018.04","동래구",8374,408,2530,5086,350
"부산","2018.04","부산진구",17258,519,6233,9855,651
"부산","2018.04","북구",8686,293,2525,5515,353
"부산","2018.04","사상구",10067,444,3075,6246,302
"부산","2018.04","사하구",11296,370,3042,7413,471
"부산","2018.04","서구",6038,164,1786,3909,179
"부산","2018.04","수영구",6505,285,1940,3942,338
"부산","2018.04","연제구",6559,252,1733,4203,371
"부산","2018.04","영도구",6351,217,1675,4239,220
"부산","2018.04","해운대구",12274,532,3382,7628,732
"부산","2018.04","부산기타",15,0,11,4,0
"부산","2018.05","금정구",8130,357,2371,5073,329
"부산","2018.05","기장군",5004,261,1581,2924,238
"부산","2018.05","남구",10557,456,2914,6688,499
"부산","2018.05","동구",4246,227,1061,2802,156
"부산","2018.05","동래구",8401,400,2525,5121,355
"부산","2018.05","부산진구",17196,510,6212,9826,648
"부산","2018.05","북구",8676,290,2511,5514,361
"부산","2018.05","사상구",10101,440,3072,6284,305
"부산","2018.05","사하구",11296,376,3034,7410,476
"부산","2018.05","서구",6067,162,1786,3933,186
"부산","2018.05","수영구",6535,283,1929,3969,354
"부산","2018.05","연제구",6565,244,1729,4213,379
"부산","2018.05","영도구",6340,215,1666,4236,223
"부산","2018.05","해운대구",12325,516,3373,7676,760
"부산","2018.05","부산기타",15,0,11,4,0
"부산","2018.06","금정구",8145,351,2373,5091,330
"부산","2018.06","기장군",5014,258,1587,2932,237
"부산","2018.06","남구",10574,449,2916,6705,504
"부산","2018.06","동구",4233,226,1048,2803,156
"부산","2018.06","동래구",8412,397,2515,5122,378
"부산","2018.06","부산진구",17196,509,6206,9831,650
"부산","2018.06","북구",8678,285,2500,5525,368
"부산","2018.06","사상구",10087,432,3066,6274,315
"부산","2018.06","사하구",11311,374,3027,7422,488
"부산","2018.06","서구",6067,164,1777,3939,187
"부산","2018.06","수영구",6532,283,1928,3958,363
"부산","2018.06","연제구",6559,241,1727,4194,397
"부산","2018.06","영도구",6336,210,1659,4243,224
"부산","2018.06","해운대구",12365,509,3380,7713,763
"부산","2018.06","부산기타",15,0,11,4,0
