"시도명(1)","시점","시군구(1)",계,계,계,계,계
"시도명(1)","시점","시군구(1)",소계,경형,소형,중형,대형
"부산","2014.01","금정구",8120,567,2663,4704,186
"부산","2014.01","기장군",4179,340,1460,2254,125
"부산","2014.01","남구",10862,740,3316,6507,299
"부산","2014.01","동구",4302,442,1150,2578,132
"부산","2014.01","동래구",8642,660,2969,4815,198
"부산","2014.01","부산진구",17230,841,6973,9070,346
"부산","2014.01","북구",8610,454,2790,5157,209
"부산","2014.01","사상구",10194,613,3375,6021,185
"부산","2014.01","사하구",11055,506,3419,6830,300
"부산","2014.01","서구",6247,245,2113,3760,129
"부산","2014.01","수영구",6229,437,2139,3479,174
"부산","2014.01","연제구",6674,419,1965,4096,194
"부산","2014.01","영도구",6272,286,1962,3891,133
"부산","2014.01","해운대구",12005,705,3717,7131,452
"부산","2014.01","부산기타",25,0,17,8,0
"부산","2014.02","금정구",8117,557,2665,4713,182
"부산","2014.02","기장군",4184,344,1460,2251,129
"부산","2014.02","남구",10894,740,3322,6525,307
"부산","2014.02","동구",4306,437,1151,2584,134
"부산","2014.02","동래구",8664,668,2965,4833,198
"부산","2014.02","부산진구",17201,828,6945,9077,351
"부산","2014.02","북구",8606,459,2773,5161,213
"부산","2014.02","사상구",10208,622,3375,6032,179
"부산","2014.02","사하구",11062,506,3414,6834,308
"부산","2014.02","서구",6249,246,2105,3772,126
"부산","2014.02","수영구",6226,433,2133,3480,180
"부산","2014.02","연제구",6676,410,1966,4101,199
"부산","2014.02","영도구",6268,287,1961,3888,132
"부산","2014.02","해운대구",11996,701,3715,7127,453
"부산","2014.02","부산기타",25,0,17,8,0
"부산","2014.03","금정구",8128,551,2663,4728,186
"부산","2014.03","기장군",4208,345,1461,2269,133
"부산","2014.03","남구",10903,733,3318,6539,313
"부산","2014.03","동구",4319,437,1143,2603,136
"부산","2014.03","동래구",8666,663,2964,4844,195
"부산","2014.03","부산진구",17229,820,6939,9122,348
"부산","2014.03","북구",8611,451,2765,5178,217
"부산","2014.03","사상구",10222,627,3366,6056,173
"부산","2014.03","사하구",11114,509,3393,6890,322
"부산","2014.03","서구",6252,246,2106,3772,128
"부산","2014.03","수영구",6231,438,2132,3488,173
"부산","2014.03","연제구",6709,412,1960,4134,203
"부산","2014.03","영도구",6263,285,1959,3877,142
"부산","2014.03","해운대구",11998,696,3704,7140,458
"부산","2014.03","부산기타",25,0,17,8,0
"부산","2014.04","금정구",8146,552,2660,4750,184
"부산","2014.04","기장군",4235,349,1460,2299,127
"부산","2014.04","남구",10900,736,3302,6564,298
"부산","2014.04","동구",4311,434,1137,2599,141
"부산","2014.04","동래구",8675,657,2950,4873,195
"부산","2014.04","부산진구",17245,821,6919,9152,353
"부산","2014.04","북구",8622,453,2751,5199,219
"부산","2014.04","사상구",10240,622,3358,6083,177
"부산","2014.04","사하구",11127,495,3386,6914,332
"부산","2014.04","서구",6277,253,2092,3798,134
"부산","2014.04","수영구",6312,444,2140,3560,168
"부산","2014.04","연제구",6732,404,1962,4163,203
"부산","2014.04","영도구",6273,282,1953,3888,150
"부산","2014.04","해운대구",11999,684,3685,7167,463
"부산","2014.04","부산기타",25,0,17,8,0
"부산","2014.05","금정구",8173,545,2656,4785,187
"부산","2014.05","기장군",4261,346,1459,2319,137
"부산","2014.05","남구",10907,733,3297,6572,305
"부산","2014.05","동구",4321,437,1129,2613,142
"부산","2014.05","동래구",8687,644,2943,4892,208
"부산","2014.05","부산진구",17298,806,6911,9210,371
"부산","2014.05","북구",8610,447,2748,5196,219
"부산","2014.05","사상구",10225,619,3350,6074,182
"부산","2014.05","사하구",11125,488,3379,6920,338
"부산","2014.05","서구",6275,249,2085,3807,134
"부산","2014.05","수영구",6340,443,2146,3589,162
"부산","2014.05","연제구",6739,406,1957,4173,203
